dataset,pixel_id,lat_idx,lon_idx,lat,lon,lat_stratum,lon_stratum,stratum,sampled_pixel_id
MODIS,10,118,187,45.375,-123.125,0,2,0_2,0
MODIS,9,117,190,45.625,-122.375,0,3,0_3,1
MODIS,7,116,190,45.875,-122.375,0,3,0_3,2
MODIS,6,114,190,46.375,-122.375,0,3,0_3,3
MODIS,8,116,195,45.875,-121.125,0,4,0_4,4
MODIS,5,111,191,47.125,-122.125,1,3,1_3,5
MODIS,4,110,192,47.375,-121.875,1,4,1_4,6
MODIS,3,108,188,47.875,-122.875,2,3,2_3,7
MODIS,1,103,177,49.125,-125.625,3,0,3_0,8
MODIS,2,103,184,49.125,-123.875,3,1,3_1,9
MODIS,0,102,189,49.375,-122.625,3,3,3_3,10
