metric,n_events,spearman_r,spearman_p,pearson_r,pearson_p,mae_after_sign_alignment,coverage,dataset,n_pixels,score_abs_spearman,score_abs_pearson,score_inverse_normalized_mae,score_coverage,overall_score
ac1,1159,-0.26525539150071614,4.089748599772573e-20,-0.10105887588307796,0.0005698579644637022,2.4879203407356103,0.7521090201168072,VODCA,1308,1.0,0.29135477018879075,0.7940229736956326,0.8504483304177054,0.7339565185755321
lambda_var,1102,0.2628750284958865,7.113192888447521e-19,0.1172982553674921,9.503155606430438e-05,2.9375568126709934,0.7151200519143414,VODCA,1308,0.9901633269960463,0.34660074054195383,0.6071257574917996,0.784954555707537,0.6822110951843342
a_glsar,732,-0.1690393050335346,4.250128603608135e-06,-0.26702099798345963,2.0449084417793932e-13,4.339510780554417,0.8365714285714285,GPP,772,0.6023941817371924,0.8559538354489812,0.024385454607774304,1.0,0.620683367948487
a_glsar,1159,-0.2381915277859781,2.0548720622867386e-16,-0.07648306063718227,0.009192720748504354,3.148809708171778,0.7521090201168072,VODCA,1308,0.888160596915133,0.2077484500222692,0.5193157586406167,0.8504483304177054,0.6164182839989311
ac1,732,-0.10934893076845811,0.003053291359319749,-0.25181618477750445,4.7426778540066085e-12,3.6873759062187683,0.8365714285714285,GPP,772,0.35572815141414277,0.8042274341780592,0.2954537513545844,1.0,0.6138523342366966
lambda_ar1,878,0.1777911326766932,1.139532803946601e-07,0.1070697248249066,0.0014870058871342608,2.280486522010506,0.5697598961713173,VODCA,1308,0.6385604582832672,0.31180353073141603,0.8802455238801823,0.5275755112324891,0.5895462560318387
lambda_var,629,-0.13425569229241016,0.0007362485352107546,-0.30936291567383145,2.039539492542072e-15,4.39817719624047,0.7188571428571429,GPP,772,0.45865349019712703,1.0,0.0,0.7915715608356481,0.5625562627581938
lambda_ar1,552,-0.0677541451982679,0.11181653739179179,0.18081276703004073,1.9218357206218985e-05,2.40767337347797,0.6308571428571429,GPP,772,0.1838407949507038,0.5626755500303652,0.8273786637371834,0.6357561257322004,0.5524127836126131
variance,732,0.10407510701402098,0.004822614990369395,0.1412245572873714,0.0001262813338390437,3.530219742996472,0.8365714285714285,GPP,772,0.3339344671535379,0.42799743231796183,0.36077774362126014,1.0,0.53067741077319
variance,1159,-0.06335007367900006,0.03104193511579372,0.015416056190634304,0.600076551739134,2.3190742432388283,0.7521090201168072,VODCA,1308,0.16564129708707268,0.0,0.8642060383682967,0.8504483304177054,0.4700739164682687
variance,330,0.08626325143648535,0.11781280122726485,0.05667999431011235,0.30462688668140536,1.9923817485169317,0.3737259343148358,MODIS,759,0.26032829928990686,0.14037890451364665,1.0,0.1804719082583946,0.395294778015487
lambda_ar1,240,-0.06821906630323442,0.29254531820146223,-0.11245414507906587,0.08211298896591093,2.2628815338344292,0.2718006795016987,MODIS,759,0.1857620468240162,0.33012119625649056,0.8875632649594314,0.0,0.3508616270099845
lambda_var,240,0.08969600166669559,0.16602090856949744,0.09820405654316061,0.12924214659171568,2.6281730504604885,0.2718006795016987,MODIS,759,0.27451388419872697,0.2816427448759959,0.7357251205437401,0.0,0.32297043740461573
ac1,330,0.02326676344803233,0.6736711284704697,0.054283651593236955,0.3255608153701311,2.1212470461776407,0.3737259343148358,MODIS,759,0.0,0.1322266054175157,0.9464354719838519,0.1804719082583946,0.3147834964149405
a_glsar,330,0.05250185952120772,0.34171578830617166,0.06196346332928941,0.26167969539545577,2.8954477173184974,0.3737259343148358,MODIS,759,0.1208118592531983,0.15835313641551557,0.624628947712041,0.1804719082583946,0.27106646290978736
