dataset,pixel_id,lat_idx,lon_idx,lat,lon,lat_stratum,lon_stratum,stratum,sampled_pixel_id
GPP,2415,102,179,49.375,-125.125,0,1,0_1,0
GPP,2330,101,177,49.625,-125.625,0,1,0_1,1
GPP,2336,101,186,49.625,-123.375,0,1,0_1,2
GPP,2253,100,175,49.875,-126.125,0,1,0_1,3
GPP,2257,100,182,49.875,-124.375,0,1,0_1,4
GPP,2116,98,188,50.375,-122.875,0,1,0_1,5
GPP,2042,97,176,50.625,-125.875,0,1,0_1,6
GPP,1915,95,172,51.125,-126.875,0,1,0_1,7
GPP,1916,95,173,51.125,-126.625,0,1,0_1,8
GPP,1855,94,177,51.375,-125.625,0,1,0_1,9
GPP,2347,101,208,49.625,-117.875,0,2,0_2,10
GPP,2202,99,209,50.125,-117.625,0,2,0_2,11
GPP,2203,99,210,50.125,-117.375,0,2,0_2,12
GPP,2125,98,208,50.375,-117.875,0,2,0_2,13
GPP,2051,97,209,50.625,-117.625,0,2,0_2,14
GPP,2052,97,214,50.625,-116.375,0,2,0_2,15
GPP,1995,96,220,50.875,-114.875,0,2,0_2,16
GPP,1931,95,212,51.125,-116.875,0,2,0_2,17
GPP,1858,94,199,51.375,-120.125,0,2,0_2,18
GPP,1868,94,215,51.375,-116.125,0,2,0_2,19
GPP,2852,109,352,47.625,-81.875,0,3,0_3,20
GPP,2740,107,339,48.125,-85.125,0,3,0_3,21
GPP,2745,107,345,48.125,-83.625,0,3,0_3,22
GPP,2760,107,361,48.125,-79.625,0,3,0_3,23
GPP,2695,106,346,48.375,-83.375,0,3,0_3,24
GPP,2525,103,325,49.125,-88.625,0,3,0_3,25
GPP,2534,103,336,49.125,-85.875,0,3,0_3,26
GPP,2303,100,349,49.875,-82.625,0,3,0_3,27
GPP,2072,97,335,50.625,-86.125,0,3,0_3,28
GPP,2076,97,339,50.625,-85.125,0,3,0_3,29
GPP,3039,114,375,46.375,-76.125,0,4,0_4,30
GPP,3041,114,377,46.375,-75.625,0,4,0_4,31
GPP,3050,114,387,46.375,-73.125,0,4,0_4,32
GPP,2976,111,393,47.125,-71.625,0,4,0_4,33
GPP,2826,108,378,47.875,-75.375,0,4,0_4,34
GPP,2784,107,393,48.125,-71.625,0,4,0_4,35
GPP,2674,105,386,48.625,-73.375,0,4,0_4,36
GPP,2569,103,387,49.125,-73.125,0,4,0_4,37
GPP,2397,101,389,49.625,-72.625,0,4,0_4,38
GPP,2315,100,394,49.875,-71.375,0,4,0_4,39
GPP,1665,90,192,52.375,-121.875,1,1,1_1,40
GPP,1504,86,190,53.375,-122.375,1,1,1_1,41
GPP,1507,86,193,53.375,-121.625,1,1,1_1,42
GPP,1460,85,164,53.625,-128.875,1,1,1_1,43
GPP,1328,82,162,54.375,-129.375,1,1,1_1,44
GPP,1081,78,197,55.375,-120.625,1,1,1_1,45
